stock_code,stock_name,city
002047,宝鹰股份,深圳
002052,同洲电子,深圳
002054,德美化工,佛山
002055,ST得润,深圳
002060,广东建工,广州
002063,远光软件,珠海
002076,星光股份,佛山
002084,海鸥住工,广州
002101,广东鸿图,肇庆
002102,ST能特,深圳
002105,信隆健康,深圳
002106,莱宝高科,深圳
002121,科陆电子,深圳
002130,沃尔核材,深圳
002137,实益达,深圳
002138,顺络电子,深圳
002139,拓邦股份,深圳
002141,贤丰控股,珠海
002152,广电运通,广州
002161,远望谷,深圳
002163,海南发展,深圳
002167,东方锆业,汕头
002169,智光电气,广州
002170,芭田股份,深圳
002177,御银股份,广州
002180,奔图科技,珠海
002181,粤传媒,广州
002183,怡亚通,深圳
002187,广百股份,广州
002191,劲嘉股份,深圳
002192,融捷股份,广州
002197,证通电子,深圳
002198,ST嘉应,梅州
002201,九鼎新材,中山
002209,达意隆,广州
002210,飞马国际,深圳
002212,天融信,汕头
002213,大为股份,深圳
002215,诺普信,深圳
002218,拓日新能,深圳
002221,东华能源,茂名
002227,*ST特迅,深圳
002233,塔牌集团,梅州
002238,天威视讯,深圳
002243,力合科创,深圳
002249,大洋电机,中山
002256,兆新股份,深圳
002260,德奥退,佛山
002285,世联行,深圳
002288,*ST超华,梅州
002289,宇顺电子,深圳
002291,遥望科技,佛山
002292,奥飞娱乐,汕头
002294,信立泰,深圳
002295,精艺股份,佛山
002301,齐心集团,深圳
002303,美盈森,深圳
002308,*ST威创,广州
002311,海大集团,广州
002313,日海智能,深圳
002314,南山控股,深圳
002317,众生药业,东莞
002319,乐通股份,珠海
002325,*ST洪涛,深圳
002327,富安娜,深圳
002334,英威腾,深圳
002336,人乐退,深圳
002340,格林美,深圳
002341,ST新纶,深圳
002345,潮宏基,汕头
002348,高乐股份,广东
002351,漫步者,深圳
002352,顺丰控股,深圳
002354,天娱数科,中山
002356,鹏飞绿能,深圳
002359,北讯退,深圳
002369,卓翼科技,深圳
002399,海普瑞,深圳
002400,省广集团,广州
002402,和而泰,深圳
002416,爱施德,深圳
002417,深南退,深圳
002419,天虹股份,深圳
002420,毅昌科技,广州
002421,达实智能,深圳
002425,凯撒文化,汕头
002429,兆驰股份,深圳
002433,太安退,汕头
002436,兴森科技,深圳
002441,众业达,汕头
002446,盛路通信,佛山
002447,晨鑫退,中山
002449,国星光电,佛山
002456,欧菲光,深圳
002461,珠江啤酒,广州
002465,海格通信,广州
002475,立讯精密,深圳
002482,广田集团,深圳
002492,恒基达鑫,珠海
002495,佳隆股份,广东
002502,ST鼎龙,汕头
002503,*ST搜特,东莞
002509,天茂退,茂名
002511,中顺洁柔,中山
002518,科士达,深圳
002528,*ST英飞,深圳
002543,万和电气,佛山
002544,普天科技,广州
002545,东方铁塔,广州
002548,金新农,深圳
002551,尚荣医疗,深圳
002572,索菲亚,广州
002575,群兴玩具,汕头
002577,雷柏科技,深圳
002579,中京电子,惠州
002583,海能达,深圳
002584,西陇科学,汕头
002587,奥拓电子,深圳
002594,比亚迪,深圳
002600,领益智造,江门
002609,捷顺科技,深圳
002611,东方精工,佛山
002616,长青集团,中山
002618,丹邦退,深圳
002620,*ST瑞和,深圳
002625,光启技术,深圳
002638,勤上股份,东莞
002647,仁东控股,广州
002654,万润科技,深圳
002656,摩登大道,广州
002660,茂硕电源,深圳
002663,普邦股份,广州
002666,德联集团,佛山
002668,TCL智家,中山
002672,东江环保,深圳
002676,顺威股份,佛山
002678,珠江钢琴,广州
002681,奋达科技,深圳
002683,广东宏大,广州
002705,新宝股份,佛山
002709,天赐材料,广州
002711,欧浦退,佛山
002717,*ST岭南,中山
002722,物产金轮,广州
002723,小崧股份,江门
002724,海洋王,深圳
002732,燕塘乳业,广州
002733,雄韬股份,深圳
002735,王子新材,深圳
002736,国信证券,深圳
002741,光华科技,汕头
002745,木林森,中山
002751,易尚退,深圳
002757,南兴股份,东莞
002759,ST天际,汕头
002762,金发拉比,汕头
002763,汇洁股份,深圳
002766,索菱股份,深圳
002769,普路通,广州
002774,快意电梯,东莞
002775,文科股份,佛山
002782,可立克,深圳
002786,银宝山新,深圳
002789,*ST建艺,深圳
002791,坚朗五金,东莞
002792,通宇通讯,中山
002797,第一创业,深圳
002806,华锋股份,肇庆
002809,红墙股份,惠州
002811,郑中设计,深圳
002813,路畅科技,深圳
002815,崇达技术,深圳
002816,*ST和科,深圳
002822,ST中装,深圳
002823,凯中精密,深圳
002824,和胜股份,中山
002830,名雕股份,深圳
002831,裕同科技,深圳
002832,比音勒芬,广州
002833,弘亚数控,广州
002835,同为股份,深圳
002836,新宏泽,潮州
002837,英维克,深圳
002841,视源股份,广州
002842,翔鹭钨业,潮州
002845,同兴达,深圳
002846,英联股份,汕头
002850,科达利,深圳
002851,麦格米特,深圳
002853,皮阿诺,中山
002855,捷荣技术,东莞
002856,*ST美芝,深圳
002862,实丰文化,汕头
002867,周大生,深圳
002869,金溢科技,深圳
002870,香山股份,中山
002875,安奈儿,深圳
002876,三利谱,深圳
002880,卫光生物,深圳
002881,美格智能,深圳
002882,金龙羽,深圳
002885,京泉华,深圳
002886,沃特股份,深圳
002888,惠威科技,中山
002889,东方嘉盛,深圳
002898,赛隆退,珠海
002902,铭普光磁,东莞
002905,金逸影视,广州
002906,华阳集团,惠州
002908,德生科技,广州
002909,集泰股份,广州
002911,佛燃能源,佛山
002912,中新赛克,深圳
002916,深南电路,深圳
002917,金奥博,深圳
002918,蒙娜丽莎,佛山
002919,名臣健康,汕头
002920,德赛西威,惠州
002922,伊戈尔,佛山
002923,润都股份,珠海
002930,宏川智慧,东莞
002938,鹏鼎控股,深圳
002939,长城证券,深圳
002949,华阳国际,深圳
002953,日丰股份,中山
002955,鸿合科技,深圳
002957,科瑞技术,深圳
002959,小熊电器,佛山
002962,五方光电,深圳
002965,祥鑫科技,东莞
002967,广电计量,广州
002970,锐明技术,深圳
002972,科安达,深圳
002973,侨银股份,广州
002975,博杰股份,珠海
002979,雷赛智能,深圳
002980,华盛昌,深圳
002981,朝阳科技,东莞
002986,宇新股份,惠州
002988,豪美新材,清远
002989,中天精装,深圳
002990,盛视科技,深圳
002992,宝明科技,深圳
002993,奥海科技,东莞
002999,天禾股份,广州
003003,天元股份,东莞
003010,若羽臣,广州
003012,东鹏控股,清远
003013,地铁设计,广州
003018,金富科技,东莞
003021,兆威机电,深圳
003028,振邦智能,深圳
003035,南网能源,广州
003037,三和管桩,中山
003039,顺控发展,佛山
003040,楚天龙,东莞
003816,中国广核,深圳
300004,南风股份,佛山
300012,华测检测,深圳
300014,亿纬锂能,惠州
300030,阳普医疗,珠海
300037,新宙邦,深圳
300042,朗科科技,深圳
300043,星辉娱乐,汕头
300044,*ST赛为,深圳
300047,天源迪科,深圳
300050,世纪鼎利,珠海
300052,中青宝,深圳
300053,航宇微,珠海
300057,万顺新材,汕头
300063,天龙集团,肇庆
300077,国民技术,深圳
300083,创世纪,东莞
300085,银之杰,深圳
300089,文化退,潮州
300094,国联水产,湛江
300098,高新兴,广州
300112,万讯自控,深圳
300115,长盈精密,深圳
300124,汇川技术,深圳
300130,新国都,深圳
300131,英唐智控,深圳
300136,信维通信,深圳
300146,汤臣倍健,珠海
300147,*ST香雪,广州
300149,睿智医药,江门
300151,昌红科技,深圳
300154,瑞凌股份,深圳
300155,安居宝,广州
300162,雷曼光电,深圳
300167,ST迪威迅,深圳
300173,ST福能,佛山
300176,鸿特科技,肇庆
300177,中海达,广州
300178,腾邦退,深圳
300193,佳士科技,深圳
300197,节能铁汉,深圳
300199,翰宇药业,深圳
300206,理邦仪器,深圳
300207,欣旺达,深圳
300219,鸿利智汇,广州
300221,银禧科技,东莞
300227,光韵达,深圳
300232,洲明科技,深圳
300235,方直科技,深圳
300238,冠昊生物,广州
300241,瑞丰光电,深圳
300242,佳云科技,东莞
300246,宝莱特,珠海
300252,金信诺,深圳
300264,佳创视讯,深圳
300269,联建光电,深圳
300273,和佳退,珠海
300281,金明精机,汕头
300301,ST长方,深圳
300303,聚飞光电,深圳
300310,宜通世纪,广州
300311,ST任子行,深圳
300317,珈伟新能,深圳
300319,麦捷科技,深圳
300322,硕贝德,惠州
300328,宜安科技,东莞
300333,兆日科技,深圳
300335,迪森股份,广州
300340,科恒股份,江门
300348,长亮科技,深圳
300350,华鹏飞,深圳
300359,全通教育,中山
300376,易事特,东莞
300377,赢时胜,深圳
300381,溢多利,珠海
300389,艾比森,深圳
300400,劲拓股份,深圳
300403,汉宇集团,江门
300404,博济医药,广州
300408,三环集团,潮州
300409,道氏技术,广东
300410,正业科技,东莞
300415,伊之密,佛山
300417,南华仪器,佛山
300424,航新科技,广州
300438,鹏辉能源,广州
300448,浩云科技,广州
300454,深信服,深圳
300457,赢合科技,深圳
300458,全志科技,珠海
300460,ST惠伦,东莞
300464,星徽股份,佛山
300468,四方精创,深圳
300476,胜宏科技,惠州
300482,万孚生物,广州
300484,蓝海华腾,深圳
300495,*ST美尚,深圳
300498,温氏股份,云浮
300499,高澜股份,广州
300503,昊志机电,广州
300506,名家汇,深圳
300514,友讯达,深圳
300521,爱司凯,广州
300526,中潜退,惠州
300529,健帆生物,珠海
300531,优博讯,深圳
300532,今天国际,深圳
300533,冰川网络,深圳
300538,同益股份,深圳
300543,朗科智能,深圳
300545,联得装备,深圳
300546,雄帝科技,深圳
300556,丝路视觉,深圳
300561,汇金科技,珠海
300562,乐心医疗,中山
300565,科信技术,深圳
300568,星源材质,深圳
300570,太辰光,深圳
300572,安车检测,深圳
300576,容大感光,深圳
300586,美联新材,汕头
300589,江龙船艇,中山
300591,万里马,东莞
300599,雄塑科技,佛山
300601,康泰生物,深圳
300602,飞荣达,深圳
300606,金太阳,东莞
300607,拓斯达,东莞
300615,欣天科技,深圳
300616,尚品宅配,广州
300619,金银河,佛山
300620,光库科技,珠海
300621,维业股份,深圳
300622,博士眼镜,深圳
300625,三雄极光,广州
300629,新劲刚,佛山
300633,开立医疗,深圳
300634,彩讯股份,深圳
300635,中达安,广州
300638,广和通,深圳
300639,凯普生物,潮州
300647,超频三,深圳
300656,民德电子,深圳
300668,杰恩股份,深圳
300671,富满微,深圳
300675,建科院,深圳
300676,华大基因,深圳
300679,电连技术,深圳
300681,英搏尔,珠海
300686,智动力,深圳
300687,赛意信息,广州
300689,澄天伟业,深圳
300691,联合光电,中山
300693,盛弘股份,深圳
300711,广哈通信,广州
300713,英可瑞,深圳
300716,*ST泉为,东莞
300720,海川智能,佛山
300723,一品红,广州
300724,捷佳伟创,深圳
300731,科创新源,深圳
300735,光弘科技,惠州
300737,科顺股份,佛山
300738,奥飞数据,广州
300739,明阳电路,深圳
300745,欣锐科技,深圳
300749,顶固集创,中山
300752,隆利科技,深圳
300756,金马游乐,中山
300760,迈瑞医疗,深圳
300769,德方纳米,深圳
300770,新媒股份,广州
300771,智莱科技,深圳
300778,新城市,深圳
300781,因赛集团,广州
300790,宇瞳光学,东莞
300791,仙乐健康,汕头
300793,佳禾智能,东莞
300805,电声股份,广州
300811,铂科新材,深圳
300812,易天股份,深圳
300814,中富电路,深圳
300822,贝仕达克,深圳
300824,北鼎股份,深圳
300832,新产业,深圳
300833,浩洋股份,广州
300834,星辉环材,汕头
300843,胜蓝股份,东莞
300844,山水比德,广州
300854,中兰环保,深圳
300857,协创数据,深圳
300868,杰美特,深圳
300870,欧陆通,深圳
300876,蒙泰高新,揭阳
300888,稳健医疗,深圳
300889,爱克股份,深圳
300891,惠云钛业,云浮
300903,科翔股份,惠州
300909,汇创达,深圳
300916,朗特智能,深圳
300917,特发服务,深圳
300921,南凌科技,深圳
300925,法本信息,深圳
300932,三友联众,东莞
300938,信测标准,深圳
300939,秋田微,深圳
300940,南极光,深圳
300942,易瑞生物,深圳
300949,奥雅股份,深圳
300951,博硕科技,深圳
300960,通业科技,深圳
300961,深水海纳,深圳
300962,中金辐照,深圳
300968,格林精密,惠州
300973,立高食品,广州
300976,达瑞电子,东莞
300977,深圳瑞捷,深圳
300978,东箭科技,佛山
300979,华利集团,中山
300989,蕾奥规划,深圳
300991,创益通,深圳
300995,奇德新材,江门
300997,欢乐家,湛江
301002,崧盛股份,深圳
301011,华立科技,广州
301013,利和兴,深圳
301018,申菱环境,佛山
301021,英诺激光,深圳
301029,怡合达,东莞
301033,迈普医学,广州
301038,深水规院,深圳
301039,中集车辆,深圳
301041,金百泽,深圳
301042,安联锐视,珠海
301043,绿岛风,广东
301051,信濠光电,深圳
301059,金三江,肇庆
301067,显盈科技,深圳
301086,鸿富瀚,深圳
301088,戎美股份,深圳
301091,深城交,深圳
301105,鸿铭股份,东莞
301110,青木科技,广州
301111,粤万年青,汕头
301112,信邦智能,广州
301123,奕东电子,东莞
301128,强瑞技术,深圳
301131,聚赛龙,广州
301133,金钟股份,广州
301135,瑞德智能,佛山
301138,华研精机,广州
301177,迪阿股份,深圳
301178,天亿马,汕头
301189,奥尼电子,深圳
301191,菲菱科思,深圳
301200,大族数控,深圳
301223,中荣股份,中山
301248,杰创智能,广州
301263,泰恩康,汕头
301268,铭利达,深圳
301282,金禄电子,清远
301283,聚胶股份,广州
301288,清研环境,深圳
301291,明阳电气,中山
301305,朗坤科技,深圳
301308,江波龙,深圳
301312,智立方,深圳
301313,凡拓数创,广州
301314,科瑞思,珠海
301318,维海德,深圳
301319,唯特偶,深圳
301322,绿通科技,东莞
301323,新莱福,广州
301325,曼恩斯特,深圳
301326,捷邦科技,东莞
301327,华宝新能,深圳
301328,维峰电子,东莞
301330,熵基科技,东莞
301332,德尔玛,佛山
301338,凯格精机,东莞
301348,蓝箭电子,佛山
301362,民爆光电,深圳
301363,美好医疗,深圳
301365,矩阵股份,深圳
301366,一博科技,深圳
301369,联动科技,佛山
301373,凌玮科技,广州
301377,鼎泰高科,东莞
301381,赛维时代,深圳
301382,蜂助手,广州
301387,光大同创,深圳
301391,卡莱特,深圳
301392,汇成真空,东莞
301395,仁信新材,惠州
301396,宏景科技,广州
301413,安培龙,深圳
301449,天溯计量,深圳
301458,钧崴电子,江门
301479,弘景光电,中山
301486,致尚科技,深圳
301488,豪恩汽电,深圳
301489,思泉新材,东莞
301503,智迪科技,珠海
301510,固高科技,深圳
301512,智信精密,深圳
301513,尚水智能,深圳
301516,中远通,深圳
301528,多浦乐,广州
301538,骏鼎达,深圳
301558,三态股份,深圳
301577,美信科技,东莞
301578,辰奕智能,惠州
301588,美新科技,惠州
301590,优优绿能,深圳
301595,太力科技,中山
301602,超研股份,汕头
301603,乔锋智能,东莞
301606,绿联科技,深圳
301608,博实结,深圳
301618,长联科技,东莞
301628,强达电路,深圳
301629,矽电股份,深圳
301630,同宇新材,肇庆
301631,壹连科技,深圳
301632,广东建科,广州
301638,南网数字,广州
301658,首航新能,深圳
301662,宏工科技,东莞
301666,大普微-UW,深圳
301683,慧谷新材,广州
600000,浦发银行,中山
600004,白云机场,广州
600029,南方航空,广州
600030,中信证券,深圳
600036,招商银行,深圳
600048,保利发展,广州
600087,退市长油,中山
600098,广州发展,广州
600143,金发科技,广州
600162,香江控股,深圳
600183,生益科技,东莞
600185,珠免集团,珠海
600211,西藏药业,广州
600241,时代万恒,中山
600242,退市中昌,阳江
600280,中央商场,中山
600323,瀚蓝环境,佛山
600325,华发股份,珠海
600327,大东方,中山
600332,白云山,广州
600360,华微电子,深圳
600380,健康元,深圳
600382,广东明珠,广东
600383,金地集团,深圳
600393,ST粤泰,广州
600428,中远海特,广州
600433,冠豪高新,湛江
600446,金证股份,深圳
600499,科达制造,佛山
600518,康美药业,广东
600525,ST长园,深圳
600548,深高速,深圳
600589,大位科技,揭阳
600593,大连圣亚,中山
600611,大众交通,中山
600666,奥瑞德,深圳
600672,*ST华圣,深圳
600673,东阳光,韶关
600682,南京新百,中山
600684,珠江股份,广州
600685,中船防务,广州
600694,大商股份,中山
600728,佳都科技,广州
600738,丽尚国潮,中山
600739,辽宁成大,中山
600772,S*ST龙昌,中山
600837,海通证券,广东
600866,星湖科技,肇庆
600868,梅雁吉祥,梅州
600872,中炬高新,中山
600892,大晟文化,深圳
600894,广日股份,广州
600958,东方证券,中山
600978,*ST宜生,汕头
600999,招商证券,深圳
601033,永兴股份,广州
601121,宝地矿业,深圳
601138,工业富联,深圳
601139,深圳燃气,深圳
601228,广州港,广州
601229,上海银行,中山
601238,广汽集团,广州
601318,中国平安,深圳
601330,绿色动力,深圳
601333,广深铁路,深圳
601601,中国太保,中山
601615,明阳智能,中山
601825,沪农商行,中山
601900,南方传媒,广州
601975,招商南油,中山
603002,宏昌电子,广州
603038,华立股份,东莞
603043,广州酒家,广州
603051,鹿山新材,广州
603063,禾望电气,深圳
603080,新疆火炬,深圳
603118,共进股份,深圳
603160,汇顶科技,深圳
603193,润本股份,广州
603196,璞源材料,中山
603228,景旺电子,深圳
603233,大参林,广州
603237,五芳斋,中山
603268,松发股份,潮州
603288,海天味业,佛山
603309,维力医疗,广州
603322,超讯科技,广州
603323,苏农银行,中山
603328,依顿电子,中山
603336,宏辉果蔬,汕头
603348,文灿股份,佛山
603386,骏亚科技,惠州
603390,通达电气,广州
603518,锦泓集团,中山
603535,嘉诚国际,广州
603608,天创时尚,广州
603630,拉芳家化,汕头
603725,天安新材,佛山
603797,联泰环保,中山
603798,康普顿,深圳
603808,歌力思,深圳
603813,原尚股份,广州
603833,欧派家居,广州
603838,*ST四通,潮州
603848,好太太,广州
603861,白云电器,广州
603863,松炀资源,汕头
603882,金域医学,广州
603898,好莱客,广州
603920,世运电路,江门
603936,博敏电子,梅州
603967,中创物流,深圳
603978,深圳新星,深圳
603983,丸美生物,广州
603991,领先股份,深圳
605099,共创草坪,广州
605499,东鹏饮料,深圳
688007,光峰科技,深圳
688020,方邦股份,广州
688025,杰普特,深圳
688026,洁特生物,广州
688036,传音控股,深圳
688045,必易微,深圳
688049,炬芯科技,珠海
688083,中望软件,广州
688086,退市紫晶,广州
688090,瑞松科技,广州
688112,鼎阳科技,深圳
688114,华大智造,深圳
688115,思林杰,广州
688125,安达智能,东莞
688128,中国电研,广州
688132,邦彦技术,深圳
688135,利扬芯片,东莞
688138,清溢光电,深圳
688148,芳源股份,江门
688159,有方科技,深圳
688171,纬德信息,广州
688173,希荻微,佛山
688175,高凌信息,珠海
688177,百奥泰,广州
688183,生益电子,东莞
688208,道通科技,深圳
688209,英集芯,深圳
688210,统联精密,深圳
688216,气派科技,深圳
688227,品高股份,广州
688228,开普云,东莞
688248,南网科技,广州
688252,天德钰,深圳
688268,华特气体,佛山
688279,峰岹科技,深圳
688312,燕麦科技,深圳
688318,财富趋势,深圳
688321,微芯生物,深圳
688322,奥比中光-W,深圳
688323,瑞华泰,深圳
688325,赛微微电,东莞
688327,云从科技-UW,广州
688328,深科达,深圳
688332,中科蓝讯,深圳
688343,云天励飞-U,深圳
688345,博力威,东莞
688359,三孚新科,广州
688361,中科飞测,深圳
688380,中微半导,深圳
688383,新益昌,深圳
688388,嘉元科技,梅州
688389,普门科技,深圳
688393,安必平,广州
688395,正弦电气,深圳
688401,路维光电,深圳
688418,震有科技,深圳
688499,利元亨,惠州
688512,慧智微-U,广州
688518,联赢激光,深圳
688522,纳睿雷达,珠海
688525,佰维存储,深圳
688530,欧莱新材,韶关
688548,广钢气体,广州
688559,海目星,深圳
688573,信宇人,深圳
688575,亚辉龙,深圳
688589,力合微,深圳
688595,芯海科技,深圳
688609,九联科技,惠州
688612,威迈斯,深圳
688617,惠泰医疗,深圳
688618,三旺通信,深圳
688620,安凯微,广州
688622,*ST禾信,广州
688625,呈和科技,广州
688627,精智达,深圳
688628,优利德,东莞
688638,誉辰智能,深圳
688648,中邮科技,中山
688655,迅捷兴,深圳
688662,富信科技,佛山
688668,鼎通科技,东莞
688669,聚石化学,清远
688671,碧兴物联,深圳
688683,莱尔科技,佛山
688686,奥普特,东莞
688695,中创股份,佛山
688697,纽威数控,阳江
688699,明微电子,深圳
688712,北芯生命,深圳
688721,龙图光罩,深圳
688726,拉普拉斯,深圳
688759,必贝特-U,广州
688772,珠海冠宇,珠海
688775,影石创新,深圳
688785,恒运昌,深圳
688788,科思科技,深圳
688793,倍轻松,深圳
688806,泰诺麦博-U,珠海
